Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
273.16,12.75,1006.2,0.00099385,0.19344,12.865,0.00056091,4.1602,4.1605,1422.9,-0.24024,0.0017645,0.56504,liquid
276.04,12.75,1006.2,0.00099386,12.161,24.833,0.044144,4.156,4.1563,1436.9,-0.23759,0.0016044,0.57174,liquid
278.92,12.75,1006.1,0.00099398,24.117,36.79,0.087238,4.1507,4.1531,1450.1,-0.23509,0.0014663,0.57808,liquid
281.79,12.75,1005.8,0.00099422,36.063,48.739,0.12986,4.1445,4.1506,1462.4,-0.23272,0.0013464,0.58411,liquid
284.67,12.75,1005.5,0.00099456,48.002,60.682,0.17203,4.1375,4.1489,1473.8,-0.23047,0.0012414,0.58984,liquid
287.55,12.75,1005,0.00099499,59.935,72.621,0.21375,4.1298,4.1476,1484.5,-0.22832,0.001149,0.59532,liquid
290.43,12.75,1004.5,0.00099552,71.864,84.557,0.25506,4.1215,4.1468,1494.5,-0.22626,0.0010672,0.60055,liquid
293.31,12.75,1003.9,0.00099613,83.791,96.491,0.29595,4.1126,4.1464,1503.8,-0.22428,0.00099432,0.60557,liquid
296.18,12.75,1003.2,0.00099681,95.715,108.42,0.33643,4.1032,4.1462,1512.4,-0.22236,0.00092917,0.61038,liquid
299.06,12.75,1002.4,0.00099758,107.64,120.36,0.37653,4.0932,4.1464,1520.3,-0.22051,0.00087063,0.61499,liquid
301.94,12.75,1001.6,0.00099842,119.56,132.29,0.41624,4.0828,4.1467,1527.7,-0.21871,0.00081782,0.61942,liquid
304.82,12.75,1000.7,0.00099932,131.49,144.23,0.45558,4.072,4.1472,1534.4,-0.21696,0.00077,0.62368,liquid
307.7,12.75,999.71,0.0010003,143.41,156.16,0.49456,4.0607,4.1479,1540.6,-0.21525,0.00072656,0.62777,liquid
310.57,12.75,998.67,0.0010013,155.34,168.1,0.53318,4.0491,4.1487,1546.2,-0.21358,0.00068696,0.63171,liquid
313.45,12.75,997.58,0.0010024,167.26,180.04,0.57145,4.0372,4.1496,1551.4,-0.21194,0.00065075,0.63548,liquid
316.33,12.75,996.42,0.0010036,179.19,191.99,0.60938,4.0249,4.1506,1556,-0.21034,0.00061756,0.63911,liquid
319.21,12.75,995.22,0.0010048,191.12,203.94,0.64698,4.0123,4.1516,1560.2,-0.20875,0.00058705,0.6426,liquid
322.09,12.75,993.96,0.0010061,203.06,215.89,0.68425,3.9995,4.1528,1563.9,-0.20719,0.00055894,0.64594,liquid
324.97,12.75,992.65,0.0010074,214.99,227.84,0.7212,3.9864,4.154,1567.1,-0.20565,0.00053297,0.64914,liquid
327.84,12.75,991.28,0.0010088,226.93,239.8,0.75783,3.9731,4.1553,1570,-0.20412,0.00050895,0.65221,liquid
330.72,12.75,989.88,0.0010102,238.88,251.76,0.79416,3.9596,4.1566,1572.4,-0.20261,0.00048666,0.65515,liquid
333.6,12.75,988.42,0.0010117,250.82,263.72,0.83018,3.9459,4.1581,1574.5,-0.20111,0.00046596,0.65796,liquid
336.48,12.75,986.92,0.0010133,262.77,275.69,0.86591,3.932,4.1596,1576.2,-0.19961,0.00044669,0.66064,liquid
339.36,12.75,985.37,0.0010148,274.73,287.67,0.90134,3.918,4.1612,1577.5,-0.19812,0.00042873,0.66319,liquid
342.23,12.75,983.78,0.0010165,286.68,299.64,0.93649,3.9039,4.1628,1578.5,-0.19663,0.00041195,0.66562,liquid
345.11,12.75,982.15,0.0010182,298.65,311.63,0.97136,3.8897,4.1646,1579.1,-0.19514,0.00039626,0.66793,liquid
347.99,12.75,980.47,0.0010199,310.61,323.62,1.006,3.8754,4.1664,1579.4,-0.19365,0.00038156,0.67011,liquid
